configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_permute_conv2d_1_0123456,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,4,5,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00788,73324.0,4.916877,0.042879,5.441497,0.03874499076,210830400
alexnet_permute_conv2d_1_0123465,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,4,6,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00815,76106.0,4.916877,0.042879,5.261227,0.04007254755,210830400
alexnet_permute_conv2d_1_0123546,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,5,4,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81221.0,4.916877,0.042879,4.997552,0.04218680466,210830400
alexnet_permute_conv2d_1_0123564,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,6,4,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00857,81203.0,4.916877,0.042879,5.003384,0.04213763589,210830400
alexnet_permute_conv2d_1_0123645,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,5,6,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00819,75818.0,4.916877,0.042879,5.235531,0.04026922263,210830400
alexnet_permute_conv2d_1_0123654,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,2,3,6,5,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81136.0,4.916877,0.042879,4.997552,0.04218680466,210830400
alexnet_permute_conv2d_1_0132456,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,4,5,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00788,73194.0,4.916877,0.042879,5.441497,0.03874499076,210830400
alexnet_permute_conv2d_1_0132465,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,4,6,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00815,75984.0,4.916877,0.042879,5.261227,0.04007254755,210830400
alexnet_permute_conv2d_1_0132546,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,5,4,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00859,81186.0,4.916877,0.042879,4.991735,0.04223597343,210830400
alexnet_permute_conv2d_1_0132564,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,6,4,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81219.0,4.916877,0.042879,4.997552,0.04218680466,210830400
alexnet_permute_conv2d_1_0132645,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,5,6,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00815,76106.0,4.916877,0.042879,5.261227,0.04007254755,210830400
alexnet_permute_conv2d_1_0132654,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,1,3,2,6,5,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81221.0,4.916877,0.042879,4.997552,0.04218680466,210830400
alexnet_permute_conv2d_1_0213456,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,1,3,4,5,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.008,74410.0,4.916877,0.042879,5.359875,0.039335016,210830400
alexnet_permute_conv2d_1_0213465,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,1,3,4,6,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00818,75784.0,4.916877,0.042879,5.241932,0.04022005386,210830400
alexnet_permute_conv2d_1_0213546,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,1,3,5,4,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00882,81714.0,4.916877,0.042879,4.861565,0.04336685514,210830400
alexnet_permute_conv2d_1_0213564,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,1,3,6,4,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00878,81348.0,4.916877,0.042879,4.883713,0.04317018006,210830400
alexnet_permute_conv2d_1_0213645,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,1,3,5,6,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00823,75501.0,4.916877,0.042879,5.210085,0.04046589771,210830400
alexnet_permute_conv2d_1_0213654,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,1,3,6,5,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00878,81348.0,4.916877,0.042879,4.883713,0.04317018006,210830400
alexnet_permute_conv2d_1_0231456,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,1,2,4,5,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.008,74304.0,4.916877,0.042879,5.359875,0.039335016,210830400
alexnet_permute_conv2d_1_0231465,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,1,2,4,6,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00822,75805.0,4.916877,0.042879,5.216423,0.04041672894,210830400
alexnet_permute_conv2d_1_0231546,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,1,2,5,4,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00882,81714.0,4.916877,0.042879,4.861565,0.04336685514,210830400
alexnet_permute_conv2d_1_0231564,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,1,2,6,4,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00881,81276.0,4.916877,0.042879,4.867083,0.04331768637,210830400
alexnet_permute_conv2d_1_0231645,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,1,2,5,6,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00823,75612.0,4.916877,0.042879,5.210085,0.04046589771,210830400
alexnet_permute_conv2d_1_0231654,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,1,2,6,5,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.0088,81345.0,4.916877,0.042879,4.872614,0.0432685176,210830400
alexnet_permute_conv2d_1_0312456,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,3,1,4,5,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00788,73160.0,4.916877,0.042879,5.441497,0.03874499076,210830400
alexnet_permute_conv2d_1_0312465,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,3,1,4,6,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00815,75907.0,4.916877,0.042879,5.261227,0.04007254755,210830400
alexnet_permute_conv2d_1_0312546,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,3,1,5,4,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00862,81188.0,4.916877,0.042879,4.974362,0.04238347974,210830400
alexnet_permute_conv2d_1_0312564,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,3,1,6,4,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81159.0,4.916877,0.042879,4.997552,0.04218680466,210830400
alexnet_permute_conv2d_1_0312645,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,3,1,5,6,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00813,75894.0,4.916877,0.042879,5.27417,0.03997421001,210830400
alexnet_permute_conv2d_1_0312654,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,2,3,1,6,5,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00858,81136.0,4.916877,0.042879,4.997552,0.04218680466,210830400
alexnet_permute_conv2d_1_0321456,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,2,1,4,5,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00804,74361.0,4.916877,0.042879,5.333209,0.03953169108,210830400
alexnet_permute_conv2d_1_0321465,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,2,1,4,6,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00827,76023.0,4.916877,0.042879,5.184885,0.04066257279,210830400
alexnet_permute_conv2d_1_0321546,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,2,1,5,4,6,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00887,81763.0,4.916877,0.042879,4.83416,0.04361269899,210830400
alexnet_permute_conv2d_1_0321564,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,2,1,6,4,5,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00877,81328.0,4.916877,0.042879,4.889282,0.04312101129,210830400
alexnet_permute_conv2d_1_0321645,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,2,1,5,6,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00818,75784.0,4.916877,0.042879,5.241932,0.04022005386,210830400
alexnet_permute_conv2d_1_0321654,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,3,2,1,6,5,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,491687712.0,0.00879,81354.0,4.916877,0.042879,4.878157,0.04321934883,210830400
alexnet_permute_conv2d_1_0456123,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,5,6,1,2,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00653,55367.0,5.956266,0.035396,5.420521,0.03889441698,210830400
alexnet_permute_conv2d_1_0456132,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,6,5,1,2,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00641,55538.0,5.956266,0.035396,5.521997,0.03817966506,210830400
alexnet_permute_conv2d_1_0456213,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,4,6,1,2,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00659,56763.0,5.956266,0.035396,5.371168,0.03925179294,210830400
alexnet_permute_conv2d_1_0456231,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,4,5,1,2,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00644,56689.0,5.956266,0.035396,5.496273,0.03835835304,210830400
alexnet_permute_conv2d_1_0456312,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,6,4,1,2,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00647,55505.0,5.956266,0.035396,5.470788,0.03853704102,210830400
alexnet_permute_conv2d_1_0456321,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,5,4,1,2,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00664,56577.0,5.956266,0.035396,5.330723,0.03954960624,210830400
alexnet_permute_conv2d_1_0465123,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,5,6,1,3,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00653,55303.0,5.956266,0.035396,5.420521,0.03889441698,210830400
alexnet_permute_conv2d_1_0465132,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,6,5,1,3,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00656,55387.0,5.956266,0.035396,5.395732,0.03907310496,210830400
alexnet_permute_conv2d_1_0465213,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,4,6,1,3,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00644,56648.0,5.956266,0.035396,5.496273,0.03835835304,210830400
alexnet_permute_conv2d_1_0465231,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,4,5,1,3,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00661,56823.0,5.956266,0.035396,5.354917,0.03937091826,210830400
alexnet_permute_conv2d_1_0465312,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,6,4,1,3,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00662,55246.0,5.956266,0.035396,5.346828,0.03943048092,210830400
alexnet_permute_conv2d_1_0465321,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,5,4,1,3,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00661,56800.0,5.956266,0.035396,5.354917,0.03937091826,210830400
alexnet_permute_conv2d_1_0546123,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,5,6,2,1,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00644,55471.0,5.956266,0.035396,5.496273,0.03835835304,210830400
alexnet_permute_conv2d_1_0546132,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,6,5,2,1,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.0065,55178.0,5.956266,0.035396,5.445538,0.038715729,210830400
alexnet_permute_conv2d_1_0546213,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,4,6,2,1,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00649,56761.0,5.956266,0.035396,5.453929,0.03865616634,210830400
alexnet_permute_conv2d_1_0546231,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,4,5,2,1,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00671,57354.0,5.956266,0.035396,5.275112,0.03996654486,210830400
alexnet_permute_conv2d_1_0546312,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,6,4,2,1,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00644,55456.0,5.956266,0.035396,5.496273,0.03835835304,210830400
alexnet_permute_conv2d_1_0546321,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,5,4,2,1,3,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00654,57336.0,5.956266,0.035396,5.412232,0.03895397964,210830400
alexnet_permute_conv2d_1_0564123,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,5,6,3,1,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00649,55229.0,5.956266,0.035396,5.453929,0.03865616634,210830400
alexnet_permute_conv2d_1_0564132,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,6,5,3,1,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00652,55251.0,5.956266,0.035396,5.428834,0.03883485432,210830400
alexnet_permute_conv2d_1_0564213,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,4,6,3,1,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.0065,56822.0,5.956266,0.035396,5.445538,0.038715729,210830400
alexnet_permute_conv2d_1_0564231,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,4,5,3,1,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00671,57322.0,5.956266,0.035396,5.275112,0.03996654486,210830400
alexnet_permute_conv2d_1_0564312,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,6,4,3,1,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.0065,55190.0,5.956266,0.035396,5.445538,0.038715729,210830400
alexnet_permute_conv2d_1_0564321,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,5,4,3,1,2,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00654,57297.0,5.956266,0.035396,5.412232,0.03895397964,210830400
alexnet_permute_conv2d_1_0645123,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,5,6,2,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00655,55456.0,5.956266,0.035396,5.403969,0.0390135423,210830400
alexnet_permute_conv2d_1_0645132,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,6,5,2,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00656,55387.0,5.956266,0.035396,5.395732,0.03907310496,210830400
alexnet_permute_conv2d_1_0645213,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,4,6,2,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.0066,56799.0,5.956266,0.035396,5.36303,0.0393113556,210830400
alexnet_permute_conv2d_1_0645231,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,4,5,2,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.0066,56819.0,5.956266,0.035396,5.36303,0.0393113556,210830400
alexnet_permute_conv2d_1_0645312,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,6,4,2,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00655,55454.0,5.956266,0.035396,5.403969,0.0390135423,210830400
alexnet_permute_conv2d_1_0645321,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,5,4,2,3,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.0063,56231.0,5.956266,0.035396,5.618413,0.0375244758,210830400
alexnet_permute_conv2d_1_0654123,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,5,6,3,2,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00651,55243.0,5.956266,0.035396,5.437174,0.03877529166,210830400
alexnet_permute_conv2d_1_0654132,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,4,6,5,3,2,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.0065,55176.0,5.956266,0.035396,5.445538,0.038715729,210830400
alexnet_permute_conv2d_1_0654213,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,4,6,3,2,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.0067,57275.0,5.956266,0.035396,5.282985,0.0399069822,210830400
alexnet_permute_conv2d_1_0654231,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,4,5,3,2,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00666,57170.0,5.956266,0.035396,5.314715,0.03966873156,210830400
alexnet_permute_conv2d_1_0654312,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,5,6,4,3,2,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00651,55243.0,5.956266,0.035396,5.437174,0.03877529166,210830400
alexnet_permute_conv2d_1_0654321,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,6,5,4,3,2,1,1,227,227,1,11,11,1,1,1,55,55,1,288.0,595626624.0,0.00649,56802.0,5.956266,0.035396,5.453929,0.03865616634,210830400
alexnet_permute_conv2d_2_0123456,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,2,3,4,5,6,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2347358208.0,0.0132,115534.0,23.473582,0.038162,2.891061,0.3098512824,895795200
alexnet_permute_conv2d_2_0123465,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,2,3,4,6,5,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1896661248.0,0.0126,112521.0,18.966612,0.04723,3.748413,0.2389793112,895795200
alexnet_permute_conv2d_2_0123546,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,2,3,5,4,6,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2347358208.0,0.0146,127437.0,23.473582,0.038162,2.613836,0.3427142972,895795200
alexnet_permute_conv2d_2_0123564,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,2,3,6,4,5,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1896661248.0,0.0126,112424.0,18.966612,0.04723,3.748413,0.2389793112,895795200
alexnet_permute_conv2d_2_0123645,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,2,3,5,6,4,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1893861888.0,0.0158,145333.0,18.938619,0.0473,2.993671,0.2992301802,895795200
alexnet_permute_conv2d_2_0123654,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,2,3,6,5,4,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1893861888.0,0.0161,146152.0,18.938619,0.0473,2.937888,0.3049117659,895795200
alexnet_permute_conv2d_2_0132456,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,3,2,4,5,6,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2347358208.0,0.0131,114817.0,23.473582,0.038162,2.91313,0.3075039242,895795200
alexnet_permute_conv2d_2_0132465,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,3,2,4,6,5,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1896661248.0,0.0125,112030.0,18.966612,0.04723,3.7784,0.23708265,895795200
alexnet_permute_conv2d_2_0132546,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,3,2,5,4,6,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2347358208.0,0.0146,127309.0,23.473582,0.038162,2.613836,0.3427142972,895795200
alexnet_permute_conv2d_2_0132564,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,3,2,6,4,5,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1896661248.0,0.0126,112879.0,18.966612,0.04723,3.748413,0.2389793112,895795200
alexnet_permute_conv2d_2_0132645,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,3,2,5,6,4,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1893861888.0,0.0159,144653.0,18.938619,0.0473,2.974843,0.3011240421,895795200
alexnet_permute_conv2d_2_0132654,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,1,3,2,6,5,4,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1893861888.0,0.0174,146769.0,18.938619,0.0473,2.718391,0.3295319706,895795200
alexnet_permute_conv2d_2_0213456,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,2,1,3,4,5,6,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2347358208.0,0.013,114817.0,23.473582,0.038162,2.935538,0.305156566,895795200
alexnet_permute_conv2d_2_0213465,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,2,1,3,4,6,5,1,31,31,32,5,5,32,1,1,27,27,1,768.0,1896661248.0,0.0125,112320.0,18.966612,0.04723,3.7784,0.23708265,895795200
alexnet_permute_conv2d_2_0213546,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,2,1,3,5,4,6,1,31,31,32,5,5,32,1,1,27,27,1,768.0,2347358208.0,0.0144,127459.0,23.473582,0.038162,2.650139,0.3380195808,895795200
