configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_unroll_conv2d_1_unroll_0_factor_0,4,1,1,227,227,3,11,11,3,96,1,55,55,96,0,0,1,227,227,1,11,11,1,1,1,55,55,1,288.0,425162016.0,0.00398,39522.0,4.25162,0.049588,12.459296,0.0169214476,210830400
alexnet_unroll_conv2d_1_unroll_1_factor_0,4,1,1,227,227,3,11,11,3,96,1,55,55,96,1,0,1,227,227,1,11,11,1,1,1,55,55,1,288.0,425162016.0,0.004,39614.0,4.25162,0.049588,12.397,0.01700648,210830400
alexnet_unroll_conv2d_1_unroll_2_factor_4,4,1,1,227,227,3,11,11,3,96,1,55,55,96,2,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,425162016.0,0.004,39607.0,4.25162,0.049588,12.397,0.01700648,210830400
alexnet_unroll_conv2d_1_unroll_2_factor_8,4,1,1,227,227,3,11,11,3,96,1,55,55,96,2,8,1,227,227,1,11,11,1,1,1,55,55,1,288.0,425162016.0,0.004,39542.0,4.25162,0.049588,12.397,0.01700648,210830400
alexnet_unroll_conv2d_1_unroll_2_factor_0,4,1,1,227,227,3,11,11,3,96,1,55,55,96,2,0,1,227,227,1,11,11,1,1,1,55,55,1,288.0,425162016.0,0.00395,39395.0,4.25162,0.049588,12.553924,0.016793899,210830400
alexnet_unroll_conv2d_1_unroll_3_factor_4,4,1,1,227,227,3,11,11,3,96,1,55,55,96,3,4,1,227,227,1,11,11,1,1,1,55,55,1,288.0,396422208.0,0.0168,152200.0,3.964222,0.053183,3.165655,0.0665989296,210830400
alexnet_unroll_conv2d_1_unroll_3_factor_8,4,1,1,227,227,3,11,11,3,96,1,55,55,96,3,8,1,227,227,1,11,11,1,1,1,55,55,1,288.0,318195072.0,0.0312,251698.0,3.181951,0.066258,2.123654,0.0992768712,210830400
alexnet_unroll_conv2d_1_unroll_3_factor_0,4,1,1,227,227,3,11,11,3,96,1,55,55,96,3,0,1,227,227,1,11,11,1,1,1,55,55,1,288.0,318350592.0,0.0322,248566.0,3.183506,0.066226,2.056708,0.1025088932,210830400
alexnet_unroll_conv2d_2_unroll_0_factor_0,1,1,1,31,31,96,5,5,96,256,1,27,27,256,0,0,1,31,31,8,5,5,8,1,1,27,27,1,3072.0,1811834880.0,0.00383,32729.0,18.118349,0.049441,12.908877,0.06939327667,895795200
alexnet_unroll_conv2d_2_unroll_1_factor_4,1,1,1,31,31,96,5,5,96,256,1,27,27,256,1,4,1,31,31,8,5,5,8,1,1,27,27,1,3072.0,1811834880.0,0.00385,32744.0,18.118349,0.049441,12.841818,0.06975564365,895795200
alexnet_unroll_conv2d_2_unroll_1_factor_0,1,1,1,31,31,96,5,5,96,256,1,27,27,256,1,0,1,31,31,8,5,5,8,1,1,27,27,1,3072.0,1811834880.0,0.00341,32191.0,18.118349,0.049441,14.498827,0.06178357009,895795200
alexnet_unroll_conv2d_2_unroll_2_factor_4,1,1,1,31,31,96,5,5,96,256,1,27,27,256,2,4,1,31,31,8,5,5,8,1,1,27,27,1,3072.0,1800637440.0,0.00995,87899.0,18.006374,0.049749,4.999899,0.1791634213,895795200
alexnet_unroll_conv2d_2_unroll_2_factor_0,1,1,1,31,31,96,5,5,96,256,1,27,27,256,2,0,1,31,31,8,5,5,8,1,1,27,27,1,3072.0,1800637440.0,0.00992,87671.0,18.006374,0.049749,5.01502,0.17862323008,895795200
alexnet_unroll_conv2d_2_unroll_3_factor_4,1,1,1,31,31,96,5,5,96,256,1,27,27,256,3,4,1,31,31,8,5,5,8,1,1,27,27,1,3072.0,1359108096.0,0.0483,378769.0,13.591081,0.065911,1.364617,0.6564492123,895795200
alexnet_unroll_conv2d_2_unroll_3_factor_0,1,1,1,31,31,96,5,5,96,256,1,27,27,256,3,0,1,31,31,8,5,5,8,1,1,27,27,1,3072.0,1359108096.0,0.0481,370397.0,13.591081,0.065911,1.370291,0.6537309961,895795200
alexnet_unroll_conv2d_3_unroll_0_factor_0,1,1,1,15,15,256,3,3,256,384,1,13,13,384,0,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,750243840.0,0.00497,45437.0,7.502438,0.039859,8.01992,0.03728711686,299040768
alexnet_unroll_conv2d_3_unroll_1_factor_4,1,1,1,15,15,256,3,3,256,384,1,13,13,384,1,4,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,603319296.0,0.00437,39132.0,6.033193,0.049566,11.342334,0.02636505341,299040768
alexnet_unroll_conv2d_3_unroll_1_factor_8,1,1,1,15,15,256,3,3,256,384,1,13,13,384,1,8,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,606434304.0,0.00325,29240.0,6.064343,0.049311,15.172615,0.01970911475,299040768
alexnet_unroll_conv2d_3_unroll_1_factor_16,1,1,1,15,15,256,3,3,256,384,1,13,13,384,1,16,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,606434304.0,0.00451,39413.0,6.064343,0.049311,10.933703,0.02735018693,299040768
alexnet_unroll_conv2d_3_unroll_1_factor_0,1,1,1,15,15,256,3,3,256,384,1,13,13,384,1,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,601761792.0,0.00835,65609.0,6.017618,0.049694,5.951377,0.0502471103,299040768
alexnet_unroll_conv2d_3_unroll_2_factor_0,1,1,1,15,15,256,3,3,256,384,1,13,13,384,2,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,600204288.0,0.0234,176196.0,6.002043,0.049823,2.129188,0.1404478062,299040768
alexnet_unroll_conv2d_3_unroll_3_factor_0,1,1,1,15,15,256,3,3,256,384,1,13,13,384,3,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,457986048.0,0.0621,506958.0,4.57986,0.065295,1.051449,0.284409306,299040768
alexnet_unroll_conv2d_4_unroll_0_factor_0,1,1,1,15,15,384,3,3,384,384,1,13,13,384,0,0,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,1125365760.0,0.00498,45417.0,11.253658,0.039859,8.003815,0.05604321684,448561152
alexnet_unroll_conv2d_4_unroll_1_factor_4,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,4,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,904978944.0,0.00436,39075.0,9.049789,0.049566,11.368349,0.03945708004,448561152
alexnet_unroll_conv2d_4_unroll_1_factor_8,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,8,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,909651456.0,0.00325,29228.0,9.096515,0.049311,15.172615,0.02956367375,448561152
alexnet_unroll_conv2d_4_unroll_1_factor_16,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,16,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,909651456.0,0.00449,39378.0,9.096515,0.049311,10.982405,0.04084335235,448561152
alexnet_unroll_conv2d_4_unroll_1_factor_0,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,0,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,902642688.0,0.00754,65194.0,9.026427,0.049694,6.590716,0.06805925958,448561152
alexnet_unroll_conv2d_4_unroll_2_factor_0,1,1,1,15,15,384,3,3,384,384,1,13,13,384,2,0,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,900306432.0,0.0234,176009.0,9.003064,0.049823,2.129188,0.2106716976,448561152
alexnet_unroll_conv2d_4_unroll_3_factor_0,1,1,1,15,15,384,3,3,384,384,1,13,13,384,3,0,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,686979072.0,0.0628,507928.0,6.869791,0.065295,1.039729,0.4314228748,448561152
alexnet_unroll_conv2d_5_unroll_0_factor_0,1,1,1,15,15,384,3,3,384,256,1,13,13,256,0,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,750243840.0,0.00497,45452.0,7.502438,0.039859,8.01992,0.03728711686,299040768
alexnet_unroll_conv2d_5_unroll_1_factor_4,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,4,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,603319296.0,0.00436,39082.0,6.033193,0.049566,11.368349,0.02630472148,299040768
alexnet_unroll_conv2d_5_unroll_1_factor_8,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,8,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,606434304.0,0.00327,29279.0,6.064343,0.049311,15.079817,0.01983040161,299040768
alexnet_unroll_conv2d_5_unroll_1_factor_16,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,16,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,606434304.0,0.00491,39412.0,6.064343,0.049311,10.042974,0.02977592413,299040768
alexnet_unroll_conv2d_5_unroll_1_factor_0,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,601761792.0,0.00755,65218.0,6.017618,0.049694,6.581987,0.0454330159,299040768
alexnet_unroll_conv2d_5_unroll_2_factor_0,1,1,1,15,15,384,3,3,384,256,1,13,13,256,2,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,600204288.0,0.0232,177517.0,6.002043,0.049823,2.147543,0.1392473976,299040768
alexnet_unroll_conv2d_5_unroll_3_factor_0,1,1,1,15,15,384,3,3,384,256,1,13,13,256,3,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,457986048.0,0.0649,509320.0,4.57986,0.065295,1.006086,0.297232914,299040768
